Marca temporal,Unidad Académica o área de pertenencia,Claustro al que pertenece,"Rol o función, en la UPC"
12/09/2026 09:33:38,Sede Regional Las Varillas - Dalmacio Vélez Sarsfield,Docente,Docente
12/09/2026 09:34:22,Otro: Polo Cultural Ciudad de las Artes,Docente,Dirección o Coordinación de área
12/09/2026 09:35:01,Facultad de Arte y Diseño,Docente,Docente
12/09/2026 09:36:10,Secretaría Académica y de Posgrado,Docente,Docente
12/09/2026 09:36:58,Sede Regional Río Tercero,Docente,Docente
12/09/2026 09:37:24,Instituto de Gestión e Innovación Tecnológica y Productiva,No docente,Personal no docente
12/09/2026 09:38:25,Sede Regional Río Tercero,Graduados,Docente
12/09/2026 09:39:27,Facultad de Arte y Diseño,Estudiantil,Estudiante de posgrado
12/09/2026 09:40:22,Rectorado,Docente,Docente
12/09/2026 09:40:59,Sede Regional Cruz del Eje - Arturo Capdevila,Docente,Dirección o Coordinación de carrera
12/09/2026 09:41:36,Sede Regional Villa Dolores - Luis Tessandori,Docente,Docente
12/09/2026 09:42:23,Sede Regional Morteros - María Justa Moyano de Ezpeleta,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 09:42:54,Facultad de Educación Física,Docente,Docente
12/09/2026 09:43:18,Sede Regional Morteros - María Justa Moyano de Ezpeleta,Docente,Docente
12/09/2026 09:43:38,Secretaría de Bienestar Estudiantil y Graduados,Docente,Docente
12/09/2026 09:44:01,Instituto de Gestión e Innovación Tecnológica y Productiva,Docente,Autoridad institucional
12/09/2026 09:44:56,Rectorado,Docente,Docente
12/09/2026 09:45:54,Sede Regional Marcos Juárez - Bernardo Houssay,Docente,Dirección o Coordinación de área
12/09/2026 09:46:52,Sede Regional Villa Carlos Paz - Arturo Umberto Illia - ISAUI,Docente,Docente
12/09/2026 09:47:19,Secretaría de Administración y Recursos Humanos,Docente,Dirección o Coordinación de carrera
12/09/2026 09:48:03,Sede Regional Las Varillas - Dalmacio Vélez Sarsfield,No docente,Autoridad institucional
12/09/2026 09:48:24,Secretaría de Bienestar Estudiantil y Graduados,Docente,Dirección o Coordinación de carrera
12/09/2026 09:48:51,Secretaría de Bienestar Estudiantil y Graduados,Docente,Autoridad institucional
12/09/2026 09:49:45,Secretaría de Coordinación y Asuntos Legales,Docente,Secretaria o Secretario
12/09/2026 09:50:15,Sede Regional Río Tercero,Docente,Estudiante de posgrado
12/09/2026 09:51:16,Sede Regional Morteros - María Justa Moyano de Ezpeleta,Docente,Docente
12/09/2026 09:52:02,Sede Regional Laboulaye - Eduardo Lefebvre,Docente,Docente
12/09/2026 09:53:11,Secretaría de Extensión,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 09:54:05,Facultad de Arte y Diseño,Docente,Dirección o Coordinación de carrera
12/09/2026 09:54:26,Sede Regional Capilla del Monte - Dr. Bernardo Houssay,Docente,Docente
12/09/2026 09:55:06,Facultad de Arte y Diseño,No docente,Personal no docente
12/09/2026 09:56:01,Facultad de Educación Física,No docente,Secretaria o Secretario
12/09/2026 09:56:54,Facultad de Arte y Diseño,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 09:57:29,Sede Regional Laboulaye - Eduardo Lefebvre,No docente,Personal no docente
12/09/2026 09:58:36,Secretaría de Extensión,No docente,Secretaria o Secretario
12/09/2026 09:59:10,Sede Regional Capilla del Monte - Dr. Bernardo Houssay,Graduados,Dirección o Coordinación de carrera
12/09/2026 09:59:59,Sede Regional Río Tercero,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:00:56,Sede Regional Deán Funes - Juan Bautista Alberdi,No docente,Dirección o Coordinación de área
12/09/2026 10:01:16,Secretaría Académica y de Posgrado,No docente,Personal no docente
12/09/2026 10:02:26,Sede Regional Mina Clavero - Dr. Carlos María Carena,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:03:32,Secretaría Académica y de Posgrado,Docente,Docente
12/09/2026 10:03:53,Facultad de Turismo y Ambiente,Estudiantil,Autoridad institucional
12/09/2026 10:04:38,Facultad de Turismo y Ambiente,No docente,Personal no docente
12/09/2026 10:05:30,Facultad de Arte y Diseño,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:06:06,Secretaría Académica y de Posgrado,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:06:36,Facultad de Turismo y Ambiente,No docente,Dirección o Coordinación de área
12/09/2026 10:07:20,Sede Regional Río Tercero,Docente,Docente
12/09/2026 10:08:21,Facultad de Turismo y Ambiente,No docente,Secretaria o Secretario
12/09/2026 10:09:30,Secretaría de Coordinación y Asuntos Legales,Docente,Dirección o Coordinación de área
12/09/2026 10:10:01,Sede Regional Marcos Juárez - Bernardo Houssay,Docente,Docente
12/09/2026 10:10:53,Secretaría Académica y de Posgrado,Docente,Secretaria o Secretario
12/09/2026 10:11:17,Sede Regional Villa Carlos Paz - Arturo Umberto Illia - ISAUI,Estudiantil,Estudiante de posgrado
12/09/2026 10:11:52,Secretaría de Extensión,No docente,Personal no docente
12/09/2026 10:12:58,Secretaría de Bienestar Estudiantil y Graduados,No docente,Secretaria o Secretario
12/09/2026 10:13:40,"Secretaría de Ciencia, Arte y Tecnología",No docente,Personal no docente
12/09/2026 10:14:22,Secretaría de Administración y Recursos Humanos,Docente,Docente
12/09/2026 10:15:31,Sede Regional Capilla del Monte - Dr. Bernardo Houssay,No docente,Personal no docente
12/09/2026 10:16:33,Sede Regional Mina Clavero - Dr. Carlos María Carena,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:17:13,Secretaría de Bienestar Estudiantil y Graduados,Docente,Docente
12/09/2026 10:17:44,Sede Regional Villa Carlos Paz - Arturo Umberto Illia - ISAUI,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:18:26,Secretaría de Administración y Recursos Humanos,Docente,Dirección o Coordinación de carrera
12/09/2026 10:18:59,Sede Regional Laboulaye - Eduardo Lefebvre,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:19:46,Facultad de Turismo y Ambiente,No docente,Dirección o Coordinación de área
12/09/2026 10:20:34,Jefatura de Gabinete,Docente,Dirección o Coordinación de área
12/09/2026 10:21:03,Facultad de Arte y Diseño,No docente,Personal no docente
12/09/2026 10:21:48,Sede Regional Morteros - María Justa Moyano de Ezpeleta,Docente,Docente
12/09/2026 10:22:29,Facultad de Arte y Diseño,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:23:29,Instituto de Gestión e Innovación Tecnológica y Productiva,Graduados,Dirección o Coordinación de carrera
12/09/2026 10:24:11,Sede Regional Villa Carlos Paz - Arturo Umberto Illia - ISAUI,No docente,Personal no docente
12/09/2026 10:24:48,Sede Regional Bell Ville - Mariano Moreno,Docente,Docente
12/09/2026 10:25:34,Sede Regional Río Tercero,Docente,Dirección o Coordinación de carrera
12/09/2026 10:25:54,Sede Regional Mina Clavero - Dr. Carlos María Carena,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:26:31,Secretaría de Extensión,No docente,Dirección o Coordinación de área
12/09/2026 10:27:08,Instituto de Gestión e Innovación Tecnológica y Productiva,Docente,Docente
12/09/2026 10:28:17,Sede Regional Laboulaye - Eduardo Lefebvre,No docente,Personal no docente
12/09/2026 10:29:06,Jefatura de Gabinete,Docente,Autoridad institucional
12/09/2026 10:30:02,Facultad de Educación Física,Docente,Docente
12/09/2026 10:30:28,Facultad de Arte y Diseño,No docente,Personal no docente
12/09/2026 10:31:20,Secretaría de Coordinación y Asuntos Legales,Docente,Docente
12/09/2026 10:32:01,Sede Regional Marcos Juárez - Bernardo Houssay,Graduados,Graduado
12/09/2026 10:32:41,Secretaría de Bienestar Estudiantil y Graduados,No docente,Personal no docente
12/09/2026 10:33:24,Sede Regional Bell Ville - Mariano Moreno,No docente,Personal no docente
12/09/2026 10:34:16,Instituto de Gestión e Innovación Tecnológica y Productiva,No docente,Personal no docente
12/09/2026 10:35:02,Sede Regional Capilla del Monte - Dr. Bernardo Houssay,Docente,Docente
12/09/2026 10:35:56,Sede Regional Villa Carlos Paz - Arturo Umberto Illia - ISAUI,No docente,Personal no docente
12/09/2026 10:36:48,Sede Regional Río Tercero,No docente,Personal no docente
12/09/2026 10:37:31,Sede Regional Villa Dolores - Luis Tessandori,No docente,Dirección o Coordinación de área
12/09/2026 10:38:07,Facultad de Arte y Diseño,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:39:07,Sede Regional Marcos Juárez - Bernardo Houssay,No docente,Secretaria o Secretario
12/09/2026 10:39:42,Facultad de Educación y Salud,Graduados,Graduado
12/09/2026 10:40:15,Facultad de Arte y Diseño,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:41:10,Sede Regional Río Tercero,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:42:04,Sede Regional Las Varillas - Dalmacio Vélez Sarsfield,Docente,Dirección o Coordinación de carrera
12/09/2026 10:42:33,Sede Regional Deán Funes - Juan Bautista Alberdi,Docente,Docente
12/09/2026 10:42:56,Sede Regional Morteros - María Justa Moyano de Ezpeleta,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:43:27,Sede Regional Las Varillas - Dalmacio Vélez Sarsfield,Docente,Docente
12/09/2026 10:43:57,Facultad de Arte y Diseño,No docente,Personal no docente
12/09/2026 10:44:43,Rectorado,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:45:17,Sede Regional Deán Funes - Juan Bautista Alberdi,No docente,Personal no docente
12/09/2026 10:46:03,Facultad de Arte y Diseño,Docente,Dirección o Coordinación de carrera
12/09/2026 10:46:53,Secretaría de Bienestar Estudiantil y Graduados,Docente,Docente
12/09/2026 10:47:57,Jefatura de Gabinete,Docente,Dirección o Coordinación de área
12/09/2026 10:48:29,Sede Regional Río Tercero,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:48:59,Sede Regional Bell Ville - Mariano Moreno,No docente,Personal no docente
12/09/2026 10:49:29,Facultad de Educación Física,Graduados,Graduado
12/09/2026 10:50:12,Secretaría de Coordinación y Asuntos Legales,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:51:07,Sede Regional Marcos Juárez - Bernardo Houssay,No docente,Personal no docente
12/09/2026 10:51:34,Sede Regional Bell Ville - Mariano Moreno,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:52:01,Sede Regional Laboulaye - Eduardo Lefebvre,No docente,Dirección o Coordinación de área
12/09/2026 10:52:48,Facultad de Educación Física,Docente,Secretaria o Secretario
12/09/2026 10:53:58,Secretaría Académica y de Posgrado,No docente,Autoridad institucional
12/09/2026 10:54:51,Facultad de Turismo y Ambiente,Docente,Docente
12/09/2026 10:55:19,"Secretaría de Ciencia, Arte y Tecnología",Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 10:56:08,Secretaría Académica y de Posgrado,No docente,Docente
12/09/2026 10:57:10,Facultad de Educación Física,No docente,Autoridad institucional
12/09/2026 10:57:59,Sede Regional Cruz del Eje - Arturo Capdevila,Graduados,Graduado
12/09/2026 10:58:25,Instituto de Gestión e Innovación Tecnológica y Productiva,No docente,Personal no docente
12/09/2026 10:59:18,Sede Regional Río Tercero,Docente,Docente
12/09/2026 11:00:14,Sede Regional Villa Dolores - Luis Tessandori,Docente,Dirección o Coordinación de carrera
12/09/2026 11:00:54,Sede Regional Villa Dolores - Luis Tessandori,No docente,Personal no docente
12/09/2026 11:01:30,Jefatura de Gabinete,Docente,Docente
12/09/2026 11:02:28,Rectorado,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 11:03:33,Facultad de Turismo y Ambiente,Graduados,Dirección o Coordinación de carrera
12/09/2026 11:04:22,Secretaría de Administración y Recursos Humanos,Docente,Dirección o Coordinación de carrera
12/09/2026 11:05:08,Sede Regional Capilla del Monte - Dr. Bernardo Houssay,No docente,Secretaria o Secretario
12/09/2026 11:06:17,Secretaría de Extensión,No docente,Personal no docente
12/09/2026 11:06:38,Secretaría de Administración y Recursos Humanos,No docente,Personal no docente
12/09/2026 11:07:27,Secretaría de Extensión,Docente,Docente
12/09/2026 11:08:36,Sede Regional Río Tercero,Estudiantil,Estudiante de pregrado y/o grado
12/09/2026 11:09:29,Facultad de Turismo y Ambiente,No docente,Personal no docente
12/09/2026 11:10:02,Facultad de Arte y Diseño,Docente,Docente
12/09/2026 11:10:28,Sede Regional Villa Dolores - Luis Tessandori,Docente,Dirección o Coordinación de área
12/09/2026 11:10:51,Sede Regional Capilla del Monte - Dr. Bernardo Houssay,Graduados,Graduado
12/09/2026 11:11:34,Instituto de Gestión e Innovación Tecnológica y Productiva,Docente,Docente
12/09/2026 11:12:39,Secretaría Académica y de Posgrado,Graduados,Graduado
12/09/2026 11:13:34,Sede Regional Mina Clavero - Dr. Carlos María Carena,No docente,Secretaria o Secretario
12/09/2026 11:14:23,Sede Regional Laboulaye - Eduardo Lefebvre,Estudiantil,Autoridad institucional
12/09/2026 11:14:55,Sede Regional Deán Funes - Juan Bautista Alberdi,Graduados,Dirección o Coordinación de carrera
12/09/2026 11:15:56,Sede Regional Marcos Juárez - Bernardo Houssay,Docente,Docente
